date	author	section	price	sold
1740-06-23	Dancourt (Florent Carton dit)	parterre	1	98
1740-06-25	Voltaire (François-Marie Arouet dit)	parterre	1	312
1740-06-25	Saint-Foix (Germain-François Poullain de)	parterre	1	312
1740-06-26	Montfleury (Antoine Jacob dit)	parterre	1	125
1740-06-26	Du Fresny (Charles)	parterre	1	125
1740-06-27	Baron (Michel Boyron dit)	parterre	1	255
1740-06-27	Fagan (Barthélemy-Christophe)	parterre	1	255
1740-06-28	Dancourt (Florent Carton dit)	parterre	1	59
1740-06-28	La Fontaine (Jean de)	parterre	1	59
1740-06-29	Baron (Michel Boyron dit)	parterre	1	388
1740-06-29	Fagan (Barthélemy-Christophe)	parterre	1	388
1740-06-30	Molière (Jean-Baptiste Poquelin dit)	parterre	1	56
1740-06-30	Regnard (Jean-François)	parterre	1	56
1740-07-02	Racine (Jean)	parterre	1	398
1740-07-02	Racine (Jean)	parterre	1	398
1740-07-03	Baron (Michel Boyron dit)	parterre	1	93
1740-07-03	Du Fresny (Charles)	parterre	1	93
1740-07-04	Racine (Jean)	parterre	1	155
1740-07-04	Lesage (Alain-René)	parterre	1	155
1740-07-05	Baron (Michel Boyron dit)	parterre	1	243
1740-07-05	Saint-Foix (Germain-François Poullain de)	parterre	1	243
1740-07-06	Baron (Michel Boyron dit)	parterre	1	155
1740-07-06	Saint-Foix (Germain-François Poullain de)	parterre	1	155
1740-07-07	Molière (Jean-Baptiste Poquelin dit)	parterre	1	119
1740-07-07	Du Fresny (Charles)	parterre	1	119
1740-07-09	Racine (Jean)	parterre	1	375
1740-07-09	Legrand (Marc-Antoine)	parterre	1	375
1740-07-10	Molière (Jean-Baptiste Poquelin dit)	parterre	1	140
1740-07-10	Palaprat (Jean de)	parterre	1	140
1740-07-11	Racine (Jean)	parterre	1	105
1740-07-11	Du Fresny (Charles)	parterre	1	105
1740-07-12	Regnard (Jean-François)	parterre	1	37
1740-07-12	Molière (Jean-Baptiste Poquelin dit)	parterre	1	37
1740-07-13	Molière (Jean-Baptiste Poquelin dit)	parterre	1	121
1740-07-13	Molière (Jean-Baptiste Poquelin dit)	parterre	1	121
1740-07-14	Molière (Jean-Baptiste Poquelin dit)	parterre	1	101
1740-07-14	Poisson (Raymond)	parterre	1	101
1740-07-16	Corneille (Pierre)	parterre	1	326
1740-07-16	Dancourt (Florent Carton dit)	parterre	1	326
1740-07-17	Regnard (Jean-François)	parterre	1	94
1740-07-17	Legrand (Marc-Antoine)	parterre	1	94
1740-07-18	Molière (Jean-Baptiste Poquelin dit)	parterre	1	116
1740-07-18	Molière (Jean-Baptiste Poquelin dit)	parterre	1	116
1740-07-19	Molière (Jean-Baptiste Poquelin dit)	parterre	1	32
1740-07-19	Legrand (Marc-Antoine)	parterre	1	32
1740-07-20	Corneille (Thomas)	parterre	1	202
1740-07-20	Molière (Jean-Baptiste Poquelin dit)	parterre	1	202
1740-07-21	Corneille (Pierre)	parterre	1	71
1740-07-21	Legrand (Marc-Antoine)	parterre	1	71
1740-07-23	Corneille (Pierre)	parterre	1	323
1740-07-23	Dancourt (Florent Carton dit)	parterre	1	323
1740-07-24	Molière (Jean-Baptiste Poquelin dit) / arrangée et versifiée par Corneille (Thomas)	parterre	1	196
1740-07-24	Molière (Jean-Baptiste Poquelin dit)	parterre	1	196
1740-07-25	Corneille (Pierre)	parterre	1	348
1740-07-25	Dancourt (Florent Carton dit)	parterre	1	348
1740-07-26	Montfleury (Antoine Jacob dit)	parterre	1	57
1740-07-26	Molière (Jean-Baptiste Poquelin dit)	parterre	1	57
1740-07-27	Corneille (Thomas)	parterre	1	145
