author	title	genre	acts	prose_vers	prologue	musique_danse_machine	date_de_creation
Audierne (Jacques)	Suivante désintéressée (La)	comédie	1	prose	t	f	
Aunillon (Pierre-Charles-Fabiot)	Amants déguisés (Les)	comédie	3	prose	f	f	1728-02-07
Autreau (Jacques)	Chevalier Bayard (Le)	comédie héroïque	5	vers	f	f	1731-11-23
Autreau (Jacques)	Magie de l'Amour (La)	comédie-pastorale	1	vers libres	f	t	1735-05-09
Auvigny (Jean du Castre d')	Tragédie en prose ou la Tragédie extravagante (La)	comédie	1	prose	f	t	1730-05-04
Avisse (Étienne-François)	Divorce ou les Époux mécontents (Le)	comédie	3	vers	t	t	1730-04-29
Baragué	Aphos	comédie	1	vers libres	f	t	1747-09-13
Barbier (Marie-Anne)	Arrie et Pétus	tragédie	5	vers	f	f	1702-06-03
Barbier (Marie-Anne)	Cornélie mère des Gracques	tragédie	5	vers	f	f	1703-01-05
Barbier (Marie-Anne)	Faucon (Le)	comédie	1	vers	f	f	1719-09-01
Barbier (Marie-Anne)	Mort de César (La) ou Jules César	tragédie	5	vers	f	f	1709-11-26
Barbier (Marie-Anne)	Tomyris	tragédie	5	vers	f	f	1706-11-23
Baron	Andrienne (L')	comédie	5	vers	f	f	1703-11-16
Baron	Coquette et la fausse prude (La)	comédie	5	prose	f	f	
Baron (Michel Boyron dit)	Adelphes ou L'École des pères (Les)	comédie	5	vers	f	f	1705-01-03
Baron (Michel Boyron dit)	Débauché (Le)	comédie	1	vers	f	f	1689-12-06
Baron (Michel Boyron dit)	Enlèvements (Les)	comédie	1	prose	f	f	1685-07-06
Baron (Michel Boyron dit)	Fontanges maltraitées ou les Vapeurs (Les)	comédie	1	prose	f	f	1689-05-11
Baron (Michel Boyron dit)	Homme à bonnes fortunes (L') L'homme à bonne fortune (titre alt).	comédie	5	prose	f	f	1686-01-31
Baron (Michel Boyron dit)	Jaloux (Le)	comédie	5	vers	f	f	1687-12-17
Baron (Michel Boyron dit)	Rendez-vous des Tuileries ou le Coquet trompé (Le)	comédie	3	prose	t	t	1685-03-03
Baron (Michel Boyron dit)	Répétition (La)	comédie	1	""	f	f	1689-07-10
Barthe (Nicolas-Thomas)	Amateur (L')	comédie	1	vers	f	f	1764-03-03
Barthe (Nicolas-Thomas)	Fausses infidélités (Les)	comédie	1	vers	f	f	1768-01-25
Barthe (Nicolas-Thomas)	Homme personnel (L')	comédie	5	vers	f	f	1778-02-21
Barthe (Nicolas-Thomas)	Mère jalouse (La)	comédie	3	vers	f	f	1771-12-23
Bastide (Jean-François de)	Jeune homme (Le)	comédie	5	vers	f	f	1764-05-17
Bauvin (Jean-Grégoire)	Chérusques (Les)	tragédie	5	vers	f	f	1772-09-26
Beaugeard (Jean-Simon Férréol)	Amants espagnols (Les)	comédie	5	prose	f	f	1782-10-23
Beauharnais (Fanny de)	Fausse inconstance ou le Triomphe de l'honnêteté (La)	comédie	5	prose	f	f	1787-01-31
Beaumarchais (Pierre-Augustin Caron de)	Barbier de Séville ou la Précaution inutile (Le)	comédie	4	prose	f	f	1775-02-23
Beaumarchais (Pierre-Augustin Caron de)	Deux amis ou le Négociant de Lyon (Les)	drame	5	prose	f	f	1770-01-13
Beaumarchais (Pierre-Augustin Caron de)	Eugénie	drame	5	prose	f	f	1767-01-29
Beaumarchais (Pierre-Augustin Caron de)	Mariage de Figaro ou la Folle journée (Le)	comédie	5	prose	f	f	1784-04-27
Beauregard	Docteur extravagant (Le)	comédie	5	vers	f	f	1684-01-14
Belin	Mort d'Othon (La)	tragédie	5	vers	f	f	1699-01-05
Belin (François)	Mustapha et Zéangir	Tragédie	5	Vers	f	f	1705-01-20
Belin (François)	Mustapha et Zéangir	tragédie	5	vers	f	f	1705-01-20
Belin (François)	Vononez, roi des Parthes	tragédie	5	vers	f	f	1701-01-07
Bellecour	Fausses apparences (Les)	comédie	1	prose	f	f	1761-08-17
Belloy (Pierre Laurent de)	Gabrielle de Vergy	tragédie	5	vers	f	f	
Belloy (Pierre Laurent de)	Gaston et Baïard ou Gaston et Bayard	tragédie	5	vers	f	f	1771-04-24
Belloy (Pierre Laurent de)	Pierre le cruel	tragédie	5	vers	f	f	1772-05-20
Belloy (Pierre Laurent de)	Siège de Calais (Le)	tragédie	5	vers	f	f	1765-02-13
Belloy (Pierre Laurent de)	Titus	tragédie	5	vers	f	f	1759-02-28
Belloy (Pierre Laurent de)	Zelmire	tragédie	5	vers	f	f	1762-05-06
Bernard (Catherine)	Brutus	tragédie	5	vers	f	f	1690-12-18
