date	author	title	ordering	register_num	receipts	representation	signatory	ouverture	cloture	free_access	firstrun	firstrun_perfnum	reprise	reprise_perfnum	newactor	actorrole	debut	ex_attendance	ex_representation	ex_place	image_volume	image_page
1773-05-05	Chamfort (Sébastien-Roch-Nicolas de)	Jeune indienne (La)	2	17		5	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	041
1773-05-06	Cailhava de L'Estandoux (Jean-François)	Tuteur dupé (Le) ou La Maison à deux portes	1	18		6	Dauberval & Dalainval	f	f	f	f		t	5	""	""		""	""	""	138	043
1773-05-06	Destouches (Philippe Néricault dit)	Fausse Agnès ou le Poète campagnard (La)	2	18		6	Dauberval & Dalainval	f	f	f	f		f		""	""		""	""	""	138	043
1773-05-07	Destouches (Philippe Néricault dit)	Glorieux (Le)	1	19		7	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	045
1773-05-07	Regnard (Jean-François)	Retour imprévu (Le)	2	19		7	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	045
1773-05-08	Destouches (Philippe Néricault dit)	Philosophe marié ou le Mari honteux de l'être (Le)	1	20		8	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	047
1773-05-08	Fagan (Barthélemy-Christophe)	Pupille (La)	2	20		8	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	047
1773-05-09	Cailhava de L'Estandoux (Jean-François)	Tuteur dupé (Le) ou La Maison à deux portes	1	21		9	Dauberval & Dalainval	f	f	f	f		t	6	""	""		""	""	""	138	049
1773-05-09	Destouches (Philippe Néricault dit)	Fausse Agnès ou le Poète campagnard (La)	2	21		9	Dauberval & Dalainval	f	f	f	f		f		""	""		""	""	""	138	049
1773-05-10	Corneille (Pierre)	Cid (Le)	1	22		10	Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	051
1773-05-10	Fagan (Barthélemy-Christophe)	Rendez-vous ou l'Amour supposé (Le)	2	22		10	Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	051
1773-05-11	Campistron (Jean Galbert de)	Jaloux désabusé (Le)	1	23		11	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	053
1773-05-11	Dancourt (Florent Carton dit)	Tuteur amoureux (Le) ou Le Tuteur	2	23		11	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	053
1773-05-12	Racine (Jean)	Britannicus	1	24		12	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	055
1773-05-12	Collet de Messine (Jean-Baptiste)	Île déserte (L')	2	24		12	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	055
1773-05-13	Molière (Jean-Baptiste Poquelin dit)	Tartuffe ou l'Imposteur	1	25		13	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	057
1773-05-13	Molière (Jean-Baptiste Poquelin dit)	Comtesse d'Escarbagnas (La)	2	25		13	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	057
1773-05-14	Regnard (Jean-François)	Légataire universel (Le)	1	26		14	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	059
1773-05-14	Brueys (David-Augustin de)	Avocat Patelin (L')	2	26		14	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	059
1773-05-15	Corneille (Pierre)	Héraclius, empereur d'Orient	1	27		15	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	061
1773-05-15	Fagan (Barthélemy-Christophe)	Étourderie (L')	2	27		15	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	061
1773-05-16	Boursault (Edme)	Ésope à la cour	1	28		16	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	063
1773-05-16	Dancourt (Florent Carton dit)	Moulin de Javelle (Le)	2	28		16	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	063
